Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1,Miles Bridges,25,46,44,1714,10.8,23.2,0.464,3.3,8.6,0.377,7.5,14.6,0.515,3.4,4.0,0.844,1.3,8.5,9.8,4.4,1.4,0.7,2.6,2.4,28.2,,110,119
2,Brandon Miller,21,51,45,1616,9.5,21.7,0.439,3.6,9.4,0.378,6.0,12.3,0.486,2.8,3.4,0.832,1.3,4.9,6.2,3.7,1.5,0.8,2.8,4.1,25.5,,105,121
3,P.J. Washington,25,44,17,1286,8.6,19.3,0.446,3.0,9.3,0.324,5.6,10.1,0.558,2.5,3.6,0.713,2.0,6.8,8.8,3.7,1.4,1.2,2.5,4.3,22.8,,107,119
4,Nick Richards,26,48,35,1254,7.3,10.5,0.691,0.0,0.0,,7.3,10.5,0.691,4.1,5.6,0.729,5.0,10.2,15.2,1.6,0.7,2.5,2.1,5.0,18.6,,135,117
5,Terry Rozier,29,30,30,1065,11.6,25.2,0.459,3.8,10.6,0.358,7.8,14.5,0.533,5.0,5.9,0.845,0.8,4.6,5.4,9.1,1.5,0.6,3.0,2.4,31.9,,116,121
6,Gordon Hayward,33,25,25,798,8.5,18.2,0.468,1.3,3.7,0.361,7.2,14.5,0.496,3.8,5.0,0.765,1.5,5.6,7.2,7.1,1.7,0.7,3.1,2.8,22.2,,109,120
7,Ish Smith,35,43,5,741,4.4,10.4,0.418,0.3,0.5,0.5,4.1,9.9,0.413,0.2,0.3,0.75,0.7,4.3,5.0,9.6,1.1,0.3,3.1,3.2,9.2,,97,123
8,Bryce McGowens,21,45,13,731,5.6,12.4,0.452,2.0,5.7,0.353,3.6,6.8,0.535,3.0,3.9,0.763,1.1,4.7,5.8,2.7,1.1,0.4,1.7,4.3,16.2,,112,122
9,LaMelo Ball,22,22,22,711,12.6,29.1,0.433,4.8,13.5,0.355,7.8,15.5,0.5,6.2,7.1,0.865,2.0,5.8,7.8,12.1,2.7,0.3,5.7,5.4,36.2,,110,118
10,Cody Martin,28,25,19,670,5.5,14.1,0.389,1.8,5.5,0.329,3.6,8.5,0.427,1.2,2.2,0.567,1.2,5.8,7.1,6.6,2.3,1.0,3.0,3.0,14.0,,96,118
11,JT Thor,21,45,1,581,4.3,11.7,0.367,1.6,5.0,0.317,2.7,6.6,0.405,0.6,1.1,0.538,3.2,6.0,9.2,1.4,0.7,1.5,0.9,3.8,10.8,,100,121
12,Nick Smith Jr.,19,37,0,573,7.5,18.5,0.406,4.4,9.6,0.451,3.2,8.9,0.356,0.9,1.1,0.846,1.4,3.2,4.6,3.8,0.6,0.6,2.7,3.8,20.3,,102,124
13,Mark Williams,22,19,19,508,9.4,14.5,0.649,0.0,0.0,,9.4,14.5,0.649,4.4,6.2,0.719,7.3,10.4,17.7,2.1,1.5,1.9,1.6,4.8,23.3,,138,116
14,Nathan Mensah,25,25,0,307,1.9,4.5,0.429,0.0,0.0,,1.9,4.5,0.429,1.4,1.9,0.75,4.6,5.7,10.3,1.4,1.0,2.2,2.2,10.2,5.3,,104,119
15,Leaky Black,24,22,3,218,3.8,8.7,0.436,1.6,3.4,0.467,2.2,5.4,0.417,2.0,3.1,0.643,1.8,6.7,8.5,4.0,1.1,1.3,1.1,3.4,11.2,,120,120
16,Théo Maledon,22,13,1,200,4.6,16.1,0.288,1.2,7.3,0.167,3.4,8.8,0.389,2.7,2.9,0.917,1.0,4.6,5.6,6.8,1.7,0.0,3.7,4.4,13.2,,83,121
17,Tre Mann,22,6,6,177,6.9,16.3,0.424,3.0,6.6,0.458,3.9,9.7,0.4,2.5,2.8,0.9,1.1,8.0,9.1,8.6,2.8,0.0,3.0,3.9,19.3,,112,117
18,Grant Williams,25,6,0,168,8.7,18.6,0.469,4.1,10.5,0.389,4.7,8.1,0.571,4.7,5.5,0.842,1.7,6.1,7.9,2.9,0.9,0.6,2.6,3.8,26.2,,117,122
19,Vasilije Micić,30,6,0,133,8.5,19.5,0.434,2.2,7.0,0.316,6.2,12.5,0.5,2.2,2.9,0.75,1.1,3.3,4.4,13.2,0.7,0.0,3.7,4.0,21.3,,111,124
20,Seth Curry,33,5,0,100,8.8,18.6,0.474,2.4,9.3,0.263,6.4,9.3,0.684,2.4,2.9,0.833,1.0,2.9,3.9,3.4,1.5,1.0,1.0,1.0,22.5,,116,122
21,James Bouknight,23,14,0,81,10.9,24.7,0.439,7.8,18.1,0.433,3.0,6.6,0.455,0.6,1.2,0.5,0.6,4.8,5.4,3.6,0.6,0.6,1.2,1.8,30.2,,116,123
22,Frank Ntilikina,25,5,0,43,1.1,10.2,0.111,1.1,9.1,0.125,0.0,1.1,0.0,2.3,2.3,1.0,1.1,5.7,6.8,4.5,0.0,0.0,1.1,4.5,5.7,,75,125
23,Dāvis Bertāns,31,4,0,43,9.1,20.5,0.444,9.1,20.5,0.444,0.0,0.0,,0.0,0.0,,0.0,3.4,3.4,2.3,2.3,0.0,0.0,5.7,27.3,,132,121
24,Amari Bailey,19,3,0,15,6.5,22.8,0.286,0.0,9.8,0.0,6.5,13.0,0.5,3.3,6.5,0.5,6.5,0.0,6.5,3.3,0.0,0.0,3.3,0.0,16.3,,78,128
