Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,58.0,13945,2489,5117,0.486,704,1877,0.375,1785,3240,0.551,1051,1377,0.763,639,1939,2578,1569,489,284,771,1111,6733
Team/G,,240.4,42.9,88.2,0.486,12.1,32.4,0.375,30.8,55.9,0.551,18.1,23.7,0.763,11.0,33.4,44.4,27.1,8.4,4.9,13.3,19.2,116.1
Lg Rank,,7,11,22,9.0,20,23,9.0,9,10,12.0,14,8,22.0,14,10,9,12,2,19,14,14,14
Year/Year,,-0.7%,2.1%,0.8%,0.006,10.7%,7.5%,0.011,-1.0%,-2.8%,0.01,-6.3%,-2.7%,-0.029,4.3%,0.9%,1.7%,4.5%,1.5%,19.1%,-8.9%,-6.4%,1.5%
Opponent,58.0,13945,2358,5086,0.464,779,2245,0.347,1579,2841,0.556,1002,1278,0.784,588,1868,2456,1558,385,299,828,1097,6497
Opponent/G,,240.4,40.7,87.7,0.464,13.4,38.7,0.347,27.2,49.0,0.556,17.3,22.0,0.784,10.1,32.2,42.3,26.9,6.6,5.2,14.3,18.9,112.0
Lg Rank,,7,6,12,6.0,23,29,2.0,3,2,21.0,13,10,15.0,8,11,9,19,4,17,9,17,8
Year/Year,,-0.7%,-0.7%,1.2%,-0.009,9.9%,7.5%,0.008,-5.2%,-3.3%,-0.011,-6.0%,-6.6%,0.005,5.0%,0.3%,1.4%,7.8%,-9.3%,9.5%,-4.7%,-7.3%,-0.4%
