No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
17.0,Jonas Valančiūnas,C,6-11,265,"May 6, 1992",lt,11,
5.0,Herbert Jones,SF,6-8,210,"October 6, 1998",us,2,Alabama
14.0,Brandon Ingram,SF,6-8,190,"September 2, 1997",us,7,Duke
11.0,Dyson Daniels,PG,6-8,199,"March 17, 2003",au,1,
24.0,Jordan Hawkins,SG,6-5,195,"April 29, 2002",us,R,UConn
1.0,Zion Williamson,PF,6-6,284,"July 6, 2000",us,3,Duke
8.0,Naji Marshall,SF,6-7,220,"January 24, 1998",us,3,Xavier
3.0,CJ McCollum,PG,6-3,190,"September 19, 1991",us,10,Lehigh
22.0,Larry Nance Jr.,C,6-8,245,"January 1, 1993",us,8,Wyoming
15.0,Jose Alvarado,PG,6-0,179,"April 12, 1998",us,2,Georgia Tech
40.0,Cody Zeller,C,6-11,240,"October 5, 1992",us,10,Indiana
25.0,Trey Murphy III,SF,6-8,206,"June 18, 2000",us,2,"Rice University, Virginia"
50.0,Jeremiah Robinson-Earl,PF,6-9,230,"November 3, 2000",us,2,Villanova
37.0,Matt Ryan (TW),SF,6-6,215,"April 17, 1997",us,2,"Notre Dame, Vanderbilt, Chattanooga"
32.0,E.J. Liddell,PF,6-7,240,"December 18, 2000",us,R,Ohio State
0.0,Dereon Seabron (TW),SG,6-7,180,"May 26, 2000",us,1,NC State
,Jalen Crutcher,PG,6-2,175,"July 18, 1999",us,R,Dayton
,Malcolm Hill (TW),SF,6-6,220,"October 26, 1995",us,2,Illinois
