Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Brandon Ingram,26,52,1739,2%,65%,29%,3%,,3.5,-2.0,59,42,56,23,108,4,733,21,38
2,Herbert Jones,25,53,1547,,,52%,47%,1%,6.0,3.9,29,14,77,11,47,17,315,9,28
3,Jonas Valančiūnas,31,58,1484,,,,,100%,4.5,0.5,22,15,92,28,79,2,303,13,39
4,Zion Williamson,23,47,1447,,,1%,86%,13%,1.0,-6.8,46,48,68,15,173,1,626,53,81
5,CJ McCollum,32,43,1361,92%,8%,,,,3.8,-0.9,36,17,51,4,49,4,459,11,26
6,Dyson Daniels,20,52,1139,47%,48%,5%,,,5.8,2.6,28,15,43,3,22,4,317,2,11
7,Jordan Hawkins,21,51,1024,16%,63%,21%,1%,,-1.9,-9.7,12,16,38,3,24,5,150,1,16
8,Trey Murphy III,23,33,876,,10%,54%,36%,1%,8.6,6.3,9,5,25,1,28,5,131,5,7
9,Naji Marshall,26,46,848,,17%,59%,24%,,8.2,5.8,25,11,36,4,35,3,214,5,14
10,Larry Nance Jr.,31,40,735,,,,2%,98%,2.0,-3.0,17,7,25,8,15,11,146,2,9
11,Jose Alvarado,25,39,654,98%,2%,,,,12.0,10.1,16,8,16,1,15,10,173,1,14
12,Matt Ryan,26,16,324,9%,19%,61%,11%,,1.5,-3.1,8,3,14,2,5,1,33,2,0
13,Cody Zeller,31,37,291,,,,,100%,9.7,6.2,6,1,20,5,12,4,80,2,9
14,Jeremiah Robinson-Earl,23,24,247,,,,68%,32%,-5.4,-10.6,7,4,7,0,7,2,27,1,1
15,Kira Lewis Jr.,22,15,144,100%,,,,,-5.3,-10.0,5,1,4,1,7,0,45,3,4
16,Dereon Seabron,23,5,52,,75%,20%,5%,,23.1,19.2,0,0,2,0,3,1,9,0,1
17,E.J. Liddell,23,8,23,,,39%,48%,14%,-8.3,-12.7,1,0,2,0,0,0,2,0,0
18,Kaiser Gates,27,1,7,,,,100%,,-12.5,-16.8,0,0,0,0,0,0,0,0,1
