Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Brandon Ingram,26,52,52,33.4,8.0,16.4,0.489,1.4,3.9,0.361,6.6,12.4,0.53,0.533,4.0,5.0,0.793,0.7,4.2,4.9,5.8,0.8,0.6,2.6,2.3,21.4
2,CJ McCollum,32,43,43,31.7,6.8,14.8,0.459,3.3,8.0,0.417,3.5,6.9,0.508,0.571,1.9,2.4,0.794,0.6,3.7,4.3,4.6,1.1,0.7,1.6,2.1,18.8
3,Zion Williamson,23,47,47,30.8,8.9,15.3,0.58,0.1,0.2,0.364,8.8,15.1,0.583,0.583,4.6,6.7,0.687,1.8,3.8,5.6,5.1,0.9,0.5,2.5,2.3,22.4
4,Herbert Jones,25,53,53,29.2,4.1,8.0,0.508,1.5,3.6,0.423,2.5,4.4,0.577,0.603,1.7,2.0,0.85,1.2,2.6,3.7,2.5,1.3,0.8,1.2,2.9,11.3
5,Trey Murphy III,23,33,9,26.5,4.2,10.0,0.416,2.5,7.1,0.346,1.7,2.9,0.589,0.54,1.6,2.1,0.779,0.5,3.4,4.0,1.6,0.8,0.6,0.5,1.2,12.4
6,Jonas Valančiūnas,31,58,58,25.6,5.5,9.7,0.571,0.6,1.6,0.344,5.0,8.1,0.617,0.6,2.2,2.8,0.796,2.7,6.9,9.6,2.3,0.4,1.0,1.4,2.9,13.8
7,Dyson Daniels,20,52,15,21.9,2.2,4.9,0.438,0.6,2.1,0.291,1.5,2.8,0.548,0.5,0.6,1.0,0.64,1.0,2.7,3.7,2.6,1.4,0.4,1.0,1.6,5.5
8,Matt Ryan,26,16,1,20.3,2.7,5.9,0.453,2.3,4.8,0.468,0.4,1.1,0.389,0.642,0.8,0.9,0.929,0.3,1.9,2.2,0.9,0.4,0.1,1.1,1.7,8.4
9,Jordan Hawkins,21,51,10,20.1,3.1,8.0,0.391,2.0,5.3,0.372,1.2,2.7,0.429,0.513,1.3,1.5,0.853,0.5,2.1,2.6,1.2,0.3,0.1,0.7,1.3,9.5
10,Naji Marshall,26,46,1,18.4,2.6,5.7,0.452,0.8,2.3,0.371,1.7,3.4,0.506,0.527,1.3,1.7,0.792,0.9,2.5,3.4,2.0,0.7,0.2,1.0,1.5,7.3
11,Larry Nance Jr.,31,40,0,18.4,2.1,3.6,0.572,0.5,1.2,0.435,1.6,2.5,0.636,0.641,0.7,1.0,0.737,1.5,3.7,5.2,1.5,1.0,0.4,0.9,1.5,5.4
12,Jose Alvarado,25,39,0,16.8,2.5,6.1,0.414,1.3,3.5,0.358,1.3,2.6,0.49,0.517,0.7,1.0,0.675,0.4,1.8,2.2,1.9,1.1,0.4,0.7,1.5,7.0
13,Dereon Seabron,23,5,0,10.4,0.8,2.6,0.308,0.2,0.4,0.5,0.6,2.2,0.273,0.346,1.0,1.2,0.833,0.2,1.2,1.4,0.8,0.4,0.2,0.0,0.8,2.8
14,Jeremiah Robinson-Earl,23,24,1,10.3,1.4,2.7,0.516,0.4,1.1,0.385,1.0,1.6,0.605,0.594,0.4,0.5,0.769,0.7,1.6,2.3,0.5,0.4,0.2,0.5,0.7,3.6
15,Kira Lewis Jr.,22,15,0,9.6,1.1,3.5,0.308,0.1,1.3,0.1,0.9,2.1,0.438,0.327,0.7,0.7,0.909,0.3,0.7,0.9,1.2,0.3,0.1,0.5,0.5,2.9
16,Cody Zeller,31,37,0,7.9,0.6,1.5,0.407,0.0,0.1,0.333,0.6,1.4,0.412,0.417,0.6,0.9,0.6,1.1,1.6,2.6,0.9,0.2,0.1,0.4,1.1,1.8
17,Kaiser Gates,27,1,0,7.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,E.J. Liddell,23,8,0,2.9,0.1,0.8,0.167,0.0,0.6,0.0,0.1,0.1,1.0,0.167,0.3,0.3,1.0,0.0,0.6,0.6,0.1,0.3,0.3,0.3,0.3,0.5
