Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1.0,Brandon Ingram,26.0,52,52.0,1739,417,852,0.489,74,205,0.361,343,647,0.53,0.533,207,261,0.793,37,220,257,304,44,31,137,118,1115
2.0,Herbert Jones,25.0,53,53.0,1547,215,423,0.508,80,189,0.423,135,234,0.577,0.603,91,107,0.85,61,137,198,134,68,43,65,154,601
3.0,Jonas Valančiūnas,31.0,58,58.0,1484,320,560,0.571,32,93,0.344,288,467,0.617,0.6,129,162,0.796,155,403,558,132,25,59,80,169,801
4.0,Zion Williamson,23.0,47,47.0,1447,417,719,0.58,4,11,0.364,413,708,0.583,0.583,217,316,0.687,83,179,262,240,44,24,118,108,1055
5.0,CJ McCollum,32.0,43,43.0,1361,293,638,0.459,143,343,0.417,150,295,0.508,0.571,81,102,0.794,24,160,184,197,46,32,68,89,810
6.0,Dyson Daniels,20.0,52,15.0,1139,112,256,0.438,32,110,0.291,80,146,0.548,0.5,32,50,0.64,51,140,191,136,72,21,52,84,288
7.0,Jordan Hawkins,21.0,51,10.0,1024,160,409,0.391,100,269,0.372,60,140,0.429,0.513,64,75,0.853,27,107,134,63,17,5,37,66,484
8.0,Trey Murphy III,23.0,33,9.0,876,137,329,0.416,81,234,0.346,56,95,0.589,0.54,53,68,0.779,18,113,131,54,27,19,16,41,408
9.0,Naji Marshall,26.0,46,1.0,848,118,261,0.452,39,105,0.371,79,156,0.506,0.527,61,77,0.792,43,114,157,90,32,8,48,70,336
10.0,Larry Nance Jr.,31.0,40,0.0,735,83,145,0.572,20,46,0.435,63,99,0.636,0.641,28,38,0.737,58,148,206,60,39,15,35,58,214
11.0,Jose Alvarado,25.0,39,0.0,654,98,237,0.414,49,137,0.358,49,100,0.49,0.517,27,40,0.675,16,69,85,76,43,14,29,57,272
12.0,Matt Ryan,26.0,16,1.0,324,43,95,0.453,36,77,0.468,7,18,0.389,0.642,13,14,0.929,5,30,35,14,6,1,17,27,135
13.0,Cody Zeller,31.0,37,0.0,291,22,54,0.407,1,3,0.333,21,51,0.412,0.417,21,35,0.6,39,58,97,35,8,4,13,39,66
14.0,Jeremiah Robinson-Earl,23.0,24,1.0,247,33,64,0.516,10,26,0.385,23,38,0.605,0.594,10,13,0.769,17,39,56,11,9,4,11,17,86
15.0,Kira Lewis Jr.,22.0,15,0.0,144,16,52,0.308,2,20,0.1,14,32,0.438,0.327,10,11,0.909,4,10,14,18,5,1,8,8,44
16.0,Dereon Seabron,23.0,5,0.0,52,4,13,0.308,1,2,0.5,3,11,0.273,0.346,5,6,0.833,1,6,7,4,2,1,0,4,14
17.0,E.J. Liddell,23.0,8,0.0,23,1,6,0.167,0,5,0.0,1,1,1.0,0.167,2,2,1.0,0,5,5,1,2,2,2,2,4
18.0,Kaiser Gates,27.0,1,0.0,7,0,4,0.0,0,2,0.0,0,2,0.0,0.0,0,0,,0,1,1,0,0,0,0,0,0
,,,58,,13945,2489,5117,0.486,704,1877,0.375,1785,3240,0.551,0.555,1051,1377,0.763,639,1939,2578,1569,489,284,771,1111,6733
