Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,GameDetails,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
3,Deandre Ayton,23:05,0.5,0.5,0.0,0.0,13.6,48.0,29.4,5.2,6.3,3.7,42.9,12.4,80.0,103.0,-3.9,PortlandTrailBlazersatLosAngelesClippersBoxScore October25,,,,,,,,,,,,,,,,,,,
4,Deandre Ayton,22:19,0.429,0.429,0.0,0.0,4.8,18.4,10.8,0.0,0.0,0.0,12.5,15.5,82.0,141.0,-15.2,PortlandTrailBlazersatLosAngelesLakersBoxScore January21,,,,,,,,,,,,,,,,,,,
2,Deandre Ayton,33:56,0.6,0.6,0.0,0.0,0.0,24.8,12.5,0.0,0.0,4.4,16.7,15.6,90.0,113.0,-6.1,PortlandTrailBlazersatLosAngelesLakersBoxScore November12,,,,,,,,,,,,,,,,,,,
3,Deandre Ayton,32:12,0.81,0.833,0.0,1.0,13.3,28.5,21.1,10.1,1.5,6.3,0.0,11.0,178.0,103.0,7.9,PortlandTrailBlazersatMilwaukeeBucksBoxScore November26,,,,,,,,,,,,,,,,,,,
4,Deandre Ayton,27:04,0.317,0.286,0.0,0.286,7.9,20.2,13.9,10.6,0.0,0.0,27.6,16.9,68.0,114.0,-11.6,PortlandTrailBlazersatOklahomaCityThunderBoxScore January23,,,,,,,,,,,,,,,,,,,
3,Deandre Ayton,20:37,0.47,0.429,0.0,0.143,8.6,41.8,22.5,16.0,4.6,4.3,0.0,14.6,118.0,111.0,3.7,PortlandTrailBlazersatPhiladelphia76ersBoxScore October29,,,,,,,,,,,,,,,,,,,
3,Deandre Ayton,30:46,0.643,0.643,0.0,0.0,24.0,10.8,18.4,26.0,1.7,2.6,12.5,22.9,134.0,135.0,6.2,PortlandTrailBlazersatPhoenixSunsBoxScore November21,,,,,,,,,,,,,,,,,,,
1,Deandre Ayton,5:00,,,,,,,,,,,,,,,,PortlandTrailBlazersatSacramentoKingsBoxScore November8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
2,Deandre Ayton,34:07,0.588,0.588,0.0,0.0,5.6,30.6,17.6,11.8,2.8,0.0,10.5,24.0,107.0,107.0,0.4,PortlandTrailBlazersatSanAntonioSpursBoxScore January26,,,,,,,,,,,,,,,,,,,
3,Deandre Ayton,32:01,0.556,0.556,0.0,0.0,22.8,46.1,35.2,9.8,1.6,4.6,10.0,14.2,131.0,83.0,6.1,PortlandTrailBlazersatTorontoRaptorsBoxScore October30,,,,,,,,,,,,,,,,,,,
2,Deandre Ayton,5:00,,,,,,,,,,,,,,,,PortlandTrailBlazersatUtahJazzBoxScore December2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,-5.0
1,Deandre Ayton,34:28,0.615,0.588,0.0,0.118,14.2,15.1,14.7,18.1,0.0,0.0,10.1,24.3,123.0,123.0,1.9,PortlandTrailBlazersatUtahJazzBoxScore November14,,,,,,,,,,,,,,,,,,,
