Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,GameDetails
9,Corey Kispert,19:04,0.571,0.571,0.143,0.0,0.0,21.7,13.2,7.2,2.4,0.0,0.0,15.1,115.0,95.0,-4.4,WashingtonWizardsatDetroitPistonsBoxScore November27
7,Corey Kispert,24:58,0.567,0.533,0.467,0.133,0.0,4.4,2.0,0.0,0.0,3.7,5.9,27.8,103.0,132.0,-5.3,WashingtonWizardsatGoldenStateWarriorsBoxScore December22
6,Corey Kispert,29:36,0.682,0.682,0.727,0.0,6.1,3.5,4.9,11.5,0.0,0.0,8.3,17.0,128.0,123.0,1.7,WashingtonWizardsatIndianaPacersBoxScore January10
7,Corey Kispert,24:27,0.463,0.409,0.455,0.182,7.6,13.4,10.2,5.4,0.0,0.0,7.8,20.6,98.0,135.0,-10.1,WashingtonWizardsatIndianaPacersBoxScore October25
6,Corey Kispert,32:38,0.833,0.833,0.833,0.0,0.0,16.7,7.7,3.9,0.0,0.0,20.0,18.8,118.0,129.0,-0.1,WashingtonWizardsatMilwaukeeBucksBoxScore November24
6,Corey Kispert,17:04,1.0,1.0,0.6,0.0,0.0,25.6,12.1,0.0,0.0,0.0,0.0,12.6,177.0,113.0,7.5,WashingtonWizardsatNewYorkKnicksBoxScore January18
7,Corey Kispert,22:39,0.588,0.545,0.545,0.364,0.0,5.0,2.5,17.4,0.0,0.0,0.0,23.2,129.0,130.0,1.3,WashingtonWizardsatOrlandoMagicBoxScore December1
7,Corey Kispert,20:24,0.707,0.714,0.714,0.714,0.0,7.6,3.2,14.9,4.6,0.0,9.8,21.4,126.0,134.0,2.5,WashingtonWizardsatOrlandoMagicBoxScore November29
7,Corey Kispert,22:59,0.58,0.583,0.5,0.667,4.1,5.2,4.6,7.0,0.0,0.0,27.9,18.6,87.0,141.0,-11.5,WashingtonWizardsatPhiladelphia76ersBoxScore December11
7,Corey Kispert,14:02,0.399,0.0,1.0,2.0,0.0,9.0,4.1,0.0,0.0,0.0,34.7,15.9,56.0,138.0,-20.2,WashingtonWizardsatPhiladelphia76ersBoxScore November6
6,Corey Kispert,25:14,0.333,0.333,0.778,0.0,0.0,0.0,0.0,5.4,0.0,3.2,0.0,15.0,75.0,116.0,-8.9,WashingtonWizardsatPhoenixSunsBoxScore December17
6,Corey Kispert,21:36,0.533,0.5,0.75,0.125,0.0,0.0,0.0,12.6,0.0,0.0,0.0,17.2,117.0,131.0,-4.6,WashingtonWizardsatPortlandTrailBlazersBoxScore December21
8,Corey Kispert,20:32,0.509,0.5,0.833,0.333,0.0,16.3,8.7,17.8,0.0,0.0,22.5,19.0,92.0,139.0,-9.4,WashingtonWizardsatSacramentoKingsBoxScore December18
7,Corey Kispert,19:51,0.667,0.667,0.833,0.0,0.0,23.6,11.9,18.7,0.0,3.9,14.3,14.8,128.0,115.0,1.1,WashingtonWizardsatSanAntonioSpursBoxScore January29
7,Corey Kispert,24:21,0.635,0.571,0.714,0.286,4.9,4.3,4.6,15.9,2.0,0.0,20.2,17.5,113.0,115.0,-2.3,WashingtonWizardsatTorontoRaptorsBoxScore November13
