Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,GameDetails,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Aaron Wiggins,7:56,,,,,,,,,,,,,,,,TorontoRaptorsatOklahomaCityThunderBoxScore February4,2.0,6.0,0.333,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0
15,Aaron Wiggins,3:33,0.375,0.375,0.25,0.0,34.7,0.0,16.9,0.0,0.0,0.0,0.0,46.8,91.0,124.0,-15.0,UtahJazzatOklahomaCityThunderBoxScore December11,,,,,,,,,,,,,,,,,,,
6,Aaron Wiggins,21:14,0.929,0.929,0.143,0.0,5.3,10.5,7.9,12.4,2.2,4.0,0.0,13.7,190.0,135.0,10.2,OklahomaCityThunderatAtlantaHawksBoxScore January3,,,,,,,,,,,,,,,,,,,
10,Aaron Wiggins,7:55,0.5,0.5,0.5,0.0,0.0,0.0,0.0,31.1,0.0,0.0,0.0,11.3,132.0,137.0,-3.7,OklahomaCityThunderatBrooklynNetsBoxScore January5,,,,,,,,,,,,,,,,,,,
9,Aaron Wiggins,10:48,0.333,0.333,0.333,0.0,13.1,17.4,15.7,0.0,0.0,0.0,25.0,16.9,68.0,109.0,-16.6,OklahomaCityThunderatChicagoBullsBoxScore October25,,,,,,,,,,,,,,,,,,,
8,Aaron Wiggins,11:28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,8.9,100.0,3.7,47.0,105.0,-3.1,OklahomaCityThunderatClevelandCavaliersBoxScore October27,,,,,,,,,,,,,,,,,,,
11,Aaron Wiggins,9:52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,130.0,-12.2,OklahomaCityThunderatDallasMavericksBoxScore December2,,,,,,,,,,,,,,,,,,,
10,Aaron Wiggins,12:15,1.042,1.0,0.0,1.0,10.0,8.3,9.1,11.1,0.0,0.0,0.0,10.5,217.0,130.0,8.3,OklahomaCityThunderatDenverNuggetsBoxScore December16,,,,,,,,,,,,,,,,,,,
11,Aaron Wiggins,11:58,0.7,0.7,0.2,0.0,19.6,26.2,23.1,0.0,0.0,0.0,16.7,22.1,121.0,99.0,-0.7,OklahomaCityThunderatDenverNuggetsBoxScore December29,,,,,,,,,,,,,,,,,,,
7,Aaron Wiggins,20:24,0.438,0.438,0.375,0.0,4.8,0.0,2.5,0.0,4.9,0.0,20.0,21.9,76.0,124.0,-9.6,OklahomaCityThunderatDetroitPistonsBoxScore January28,,,,,,,,,,,,,,,,,,,
10,Aaron Wiggins,11:05,0.644,0.667,0.333,0.667,0.0,15.7,9.5,12.3,0.0,0.0,0.0,15.4,138.0,114.0,-0.6,OklahomaCityThunderatGoldenStateWarriorsBoxScore November16,,,,,,,,,,,,,,,,,,,
10,Aaron Wiggins, ,,,,,,,,,,,,,,,,OklahomaCityThunderatGoldenStateWarriorsBoxScore November18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Aaron Wiggins,15:27,0.955,1.0,0.0,1.0,0.0,8.6,3.7,0.0,3.1,0.0,0.0,17.0,195.0,114.0,6.9,OklahomaCityThunderatHoustonRocketsBoxScore December6,,,,,,,,,,,,,,,,,,,
7,Aaron Wiggins,16:51,0.875,0.875,0.25,0.0,0.0,30.0,15.4,17.0,3.1,0.0,0.0,11.0,181.0,132.0,9.2,OklahomaCityThunderatLosAngelesClippersBoxScore January16,,,,,,,,,,,,,,,,,,,
15,Aaron Wiggins,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OklahomaCityThunderatLosAngelesLakersBoxScore January15,,,,,,,,,,,,,,,,,,,
11,Aaron Wiggins,7:46,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,50.0,126.0,-24.1,OklahomaCityThunderatMiamiHeatBoxScore January10,,,,,,,,,,,,,,,,,,,
8,Aaron Wiggins,12:26,1.25,1.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,11.1,118.0,114.0,1.5,OklahomaCityThunderatMinnesotaTimberwolvesBoxScore January20,,,,,,,,,,,,,,,,,,,
8,Aaron Wiggins,16:29,1.0,1.0,0.5,0.0,5.8,15.7,10.0,10.3,0.0,0.0,0.0,10.8,193.0,115.0,8.7,OklahomaCityThunderatMinnesotaTimberwolvesBoxScore November28,,,,,,,,,,,,,,,,,,,
7,Aaron Wiggins,17:14,0.8,0.8,0.4,0.0,0.0,11.9,6.5,8.3,0.0,0.0,16.7,15.9,125.0,93.0,3.9,OklahomaCityThunderatNewOrleansPelicansBoxScore January26,,,,,,,,,,,,,,,,,,,
9,Aaron Wiggins,12:29,0.25,0.25,0.0,0.0,0.0,17.9,9.2,10.6,4.2,0.0,0.0,15.4,64.0,102.0,-7.5,OklahomaCityThunderatPhoenixSunsBoxScore November12,,,,,,,,,,,,,,,,,,,
8,Aaron Wiggins,16:08,0.781,0.714,0.429,0.429,21.3,19.4,20.1,8.0,9.6,0.0,19.4,29.5,141.0,79.0,13.1,OklahomaCityThunderatPortlandTrailBlazersBoxScore November19,,,,,,,,,,,,,,,,,,,
11,Aaron Wiggins,6:59,0.75,0.75,0.0,0.0,13.2,0.0,7.6,0.0,0.0,0.0,20.0,27.1,112.0,130.0,1.5,OklahomaCityThunderatSacramentoKingsBoxScore December14,,,,,,,,,,,,,,,,,,,
15,Aaron Wiggins,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OklahomaCityThunderatSacramentoKingsBoxScore November10,,,,,,,,,,,,,,,,,,,
7,Aaron Wiggins,18:32,1.0,1.0,0.545,0.0,0.0,18.1,9.1,8.4,0.0,4.8,0.0,24.1,195.0,116.0,19.8,OklahomaCityThunderatSanAntonioSpursBoxScore January24,,,,,,,,,,,,,,,,,,,
6,Aaron Wiggins,17:29,0.765,0.8,0.6,0.4,13.1,14.4,13.7,7.9,0.0,0.0,0.0,14.8,164.0,134.0,4.2,OklahomaCityThunderatUtahJazzBoxScore February6,,,,,,,,,,,,,,,,,,,
6,Aaron Wiggins,22:26,0.515,0.333,0.333,0.667,0.0,10.2,5.6,23.3,0.0,3.8,0.0,7.3,152.0,128.0,-0.6,OklahomaCityThunderatUtahJazzBoxScore January18,,,,,,,,,,,,,,,,,,,
7,Aaron Wiggins,22:35,0.813,0.813,0.125,0.0,11.8,15.2,13.6,0.0,2.1,0.0,11.1,17.0,141.0,129.0,-1.3,OklahomaCityThunderatWashingtonWizardsBoxScore January8,,,,,,,,,,,,,,,,,,,
