Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,GameDetails,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
2,Andrew Wiggins,29:27,0.47,0.364,0.364,0.364,7.6,9.6,8.7,3.7,0.0,6.4,0.0,18.8,117.0,116.0,-7.5,AtlantaHawksatGoldenStateWarriorsBoxScore January24,,,,,,,,,,,,,,,,,,,
8,Andrew Wiggins,10:56,,,,,,,,,,,,,,,,BostonCelticsatGoldenStateWarriorsBoxScore December19,2.0,8.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,-8.0
7,Andrew Wiggins,26:32,0.625,0.5,0.111,0.556,8.8,12.6,10.8,4.9,1.9,0.0,0.0,17.8,149.0,123.0,1.3,BrooklynNetsatGoldenStateWarriorsBoxScore December16,,,,,,,,,,,,,,,,,,,
1,Andrew Wiggins,29:08,0.505,0.542,0.333,0.167,10.1,6.5,8.2,18.2,0.0,0.0,18.9,21.2,94.0,120.0,-2.6,ClevelandCavaliersatGoldenStateWarriorsBoxScore November11,,,,,,,,,,,,,,,,,,,
7,Andrew Wiggins,27:56,0.489,0.423,0.231,0.231,9.7,9.3,9.5,17.9,1.7,3.6,0.0,20.7,129.0,132.0,0.6,DallasMavericksatGoldenStateWarriorsBoxScore December30,,,,,,,,,,,,,,,,,,,
7,Andrew Wiggins,27:16,0.55,0.55,0.4,0.0,10.4,5.0,7.7,0.0,0.0,3.0,9.1,18.4,109.0,144.0,-8.7,DenverNuggetsatGoldenStateWarriorsBoxScore January4,,,,,,,,,,,,,,,,,,,
9,Andrew Wiggins,18:36,0.3,0.3,0.4,0.0,7.0,5.4,6.1,14.6,0.0,0.0,16.7,14.2,80.0,115.0,-8.9,DetroitPistonsatGoldenStateWarriorsBoxScore January5,,,,,,,,,,,,,,,,,,,
3,Andrew Wiggins,30:00,0.51,0.4,0.3,0.4,15.6,9.6,12.3,5.1,0.0,0.0,0.0,18.9,131.0,129.0,-4.3,HoustonRocketsatGoldenStateWarriorsBoxScore November20,,,,,,,,,,,,,,,,,,,
4,Andrew Wiggins,7:33,,,,,,,,,,,,,,,,LosAngelesLakersatGoldenStateWarriorsBoxScore January27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,-9.0
7,Andrew Wiggins,25:56,0.431,0.364,0.273,0.364,4.0,4.5,4.3,25.0,0.0,0.0,7.3,22.7,99.0,126.0,-5.2,MiamiHeatatGoldenStateWarriorsBoxScore December28,,,,,,,,,,,,,,,,,,,
2,Andrew Wiggins,25:26,0.381,0.429,0.286,0.286,6.6,9.2,7.7,12.0,1.9,0.0,11.3,13.7,88.0,117.0,-5.2,MinnesotaTimberwolvesatGoldenStateWarriorsBoxScore November12,,,,,,,,,,,,,,,,,,,
2,Andrew Wiggins,27:37,0.3,0.3,0.467,0.0,7.6,20.7,13.8,0.0,5.3,3.7,21.1,29.0,54.0,96.0,-12.9,MinnesotaTimberwolvesatGoldenStateWarriorsBoxScore November14,,,,,,,,,,,,,,,,,,,
7,Andrew Wiggins,22:57,0.313,0.313,0.375,0.0,0.0,10.0,4.6,12.0,0.0,0.0,11.1,16.5,73.0,146.0,-12.6,NewOrleansPelicansatGoldenStateWarriorsBoxScore January10,,,,,,,,,,,,,,,,,,,
3,Andrew Wiggins,26:16,0.462,0.462,0.308,0.0,13.3,10.2,12.0,12.6,0.0,0.0,27.8,26.9,80.0,134.0,-12.0,OklahomaCityThunderatGoldenStateWarriorsBoxScore November16,,,,,,,,,,,,,,,,,,,
3,Andrew Wiggins,14:52,,,,,,,,,,,,,,,,OklahomaCityThunderatGoldenStateWarriorsBoxScore November18,7.0,8.0,0.875,4.0,5.0,0.8,1.0,2.0,0.5,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,19.0,2.0
7,Andrew Wiggins,21:20,0.601,0.643,0.429,0.429,0.0,15.7,8.8,0.0,4.7,0.0,10.7,19.7,104.0,113.0,-1.2,OrlandoMagicatGoldenStateWarriorsBoxScore January2,,,,,,,,,,,,,,,,,,,
1,Andrew Wiggins,38:19,0.91,0.85,0.2,0.6,0.0,13.3,7.7,14.7,4.0,2.3,7.3,16.5,175.0,107.0,11.7,Philadelphia76ersatGoldenStateWarriorsBoxScore January30,,,,,,,,,,,,,,,,,,,
4,Andrew Wiggins,27:17,0.375,0.333,0.25,0.25,2.9,0.0,1.6,0.0,0.0,2.8,0.0,18.8,88.0,117.0,-8.4,PhoenixSunsatGoldenStateWarriorsBoxScore October24,,,,,,,,,,,,,,,,,,,
