Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,GameDetails
8,Kevin Love,9:56,0.521,0.375,1.0,1.0,0.0,0.0,0.0,13.7,0.0,0.0,0.0,24.0,127.0,121.0,-5.3,AtlantaHawksatMiamiHeatBoxScore December22
9,Kevin Love,11:52,0.0,0.0,0.6,0.0,9.6,40.4,24.7,10.6,4.3,0.0,37.5,30.1,18.0,104.0,-27.5,AtlantaHawksatMiamiHeatBoxScore January19
8,Kevin Love,15:39,0.717,0.625,0.75,0.5,8.3,70.1,38.3,34.2,0.0,0.0,0.0,14.9,174.0,113.0,12.0,BrooklynNetsatMiamiHeatBoxScore November16
8,Kevin Love,20:00,0.152,0.111,0.667,0.222,0.0,56.5,24.6,6.2,4.9,5.2,16.8,24.5,39.0,94.0,-16.6,CharlotteHornetsatMiamiHeatBoxScore December13
12,Kevin Love,Did Not Dress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CharlotteHornetsatMiamiHeatBoxScore January14
7,Kevin Love,21:48,0.581,0.542,0.667,0.333,5.5,39.1,23.3,33.9,2.3,0.0,12.7,32.9,113.0,119.0,7.7,ChicagoBullsatMiamiHeatBoxScore December14
7,Kevin Love,26:29,0.917,0.917,0.833,0.0,4.9,32.0,17.9,6.4,2.0,0.0,7.7,22.7,156.0,122.0,14.5,ChicagoBullsatMiamiHeatBoxScore December16
8,Kevin Love,28:03,0.778,0.778,0.889,0.0,0.0,48.9,23.3,18.0,1.7,3.5,10.0,15.5,136.0,100.0,12.5,ClevelandCavaliersatMiamiHeatBoxScore December8
4,Kevin Love,27:44,0.658,0.611,0.667,0.222,6.3,28.3,16.6,11.5,0.0,0.0,9.2,17.1,132.0,107.0,0.1,DetroitPistonsatMiamiHeatBoxScore October25
8,Kevin Love,23:11,0.744,0.643,0.429,1.0,15.5,17.6,16.7,25.3,2.2,0.0,9.0,21.4,158.0,116.0,9.6,HoustonRocketsatMiamiHeatBoxScore January8
9,Kevin Love,18:50,0.956,0.917,0.833,0.5,0.0,10.2,4.2,33.7,0.0,0.0,0.0,17.0,198.0,147.0,15.6,IndianaPacersatMiamiHeatBoxScore December2
9,Kevin Love,17:27,0.906,1.0,0.0,4.0,8.1,40.1,26.8,36.5,2.6,0.0,0.0,6.3,204.0,114.0,17.9,IndianaPacersatMiamiHeatBoxScore November30
8,Kevin Love,14:53,0.75,0.75,1.0,0.0,0.0,53.8,24.3,30.7,0.0,0.0,33.3,18.2,104.0,106.0,8.3,LosAngelesClippersatMiamiHeatBoxScore February4
10,Kevin Love,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LosAngelesLakersatMiamiHeatBoxScore November6
10,Kevin Love,5:06,0.0,0.0,0.667,0.0,0.0,23.5,10.7,0.0,0.0,0.0,0.0,25.7,0.0,114.0,-29.1,MemphisGrizzliesatMiamiHeatBoxScore January24
4,Kevin Love,25:56,0.273,0.273,0.455,0.0,16.5,31.7,23.1,16.7,0.0,0.0,0.0,18.6,98.0,133.0,-7.9,MilwaukeeBucksatMiamiHeatBoxScore November28
3,Kevin Love,23:37,0.643,0.643,1.0,0.0,0.0,47.3,23.9,23.3,2.1,0.0,0.0,12.9,142.0,109.0,10.2,MinnesotaTimberwolvesatMiamiHeatBoxScore December18
8,Kevin Love,19:42,0.694,0.5,0.333,1.0,5.3,28.7,15.2,14.5,0.0,0.0,10.4,21.1,140.0,132.0,1.7,OklahomaCityThunderatMiamiHeatBoxScore January10
9,Kevin Love,15:10,0.389,0.389,0.778,0.0,22.6,7.5,15.1,33.8,0.0,0.0,10.0,29.3,109.0,105.0,-5.0,OrlandoMagicatMiamiHeatBoxScore February6
8,Kevin Love,16:10,0.388,0.417,0.667,0.167,7.4,15.2,11.3,9.6,3.3,0.0,13.4,20.5,82.0,102.0,-6.8,OrlandoMagicatMiamiHeatBoxScore January12
9,Kevin Love,15:59,0.84,0.833,0.667,1.333,6.8,56.3,32.6,44.2,0.0,0.0,17.4,15.3,162.0,110.0,16.7,Philadelphia76ersatMiamiHeatBoxScore December25
9,Kevin Love,12:50,0.347,0.0,1.0,1.0,0.0,16.3,8.2,0.0,0.0,6.9,14.8,23.9,66.0,121.0,-15.7,PhoenixSunsatMiamiHeatBoxScore January29
9,Kevin Love,13:42,0.82,0.75,0.75,0.5,9.0,13.0,11.3,30.0,0.0,0.0,0.0,16.7,175.0,114.0,15.6,SacramentoKingsatMiamiHeatBoxScore January31
9,Kevin Love,16:47,0.429,0.429,0.857,0.0,0.0,37.3,18.9,0.0,2.8,5.4,12.5,21.4,68.0,91.0,-6.3,SanAntonioSpursatMiamiHeatBoxScore February7
11,Kevin Love,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WashingtonWizardsatMiamiHeatBoxScore November3
8,Kevin Love,13:37,0.717,0.625,0.75,0.5,0.0,30.0,16.2,20.8,0.0,0.0,17.0,18.8,129.0,108.0,5.2,MiamiHeatatAtlantaHawksBoxScore November11
4,Kevin Love,20:32,0.571,0.571,0.571,0.286,9.4,32.7,21.0,15.1,2.4,0.0,0.0,16.6,134.0,111.0,6.3,MiamiHeatatBostonCelticsBoxScore October27
9,Kevin Love,16:56,0.82,0.75,0.0,0.5,18.1,50.9,33.0,19.2,0.0,0.0,17.0,15.2,153.0,119.0,5.6,MiamiHeatatBrooklynNetsBoxScore November25
8,Kevin Love,21:28,0.83,0.818,0.727,0.091,6.8,27.3,18.1,10.5,2.4,0.0,0.0,25.1,159.0,119.0,13.6,MiamiHeatatCharlotteHornetsBoxScore December11
8,Kevin Love,13:54,0.222,0.0,1.0,0.8,0.0,23.0,11.9,8.6,0.0,0.0,0.0,22.8,61.0,117.0,-19.7,MiamiHeatatCharlotteHornetsBoxScore November14
9,Kevin Love,12:05,0.317,0.357,0.857,0.286,10.2,50.9,30.6,31.7,0.0,0.0,0.0,30.7,81.0,106.0,-4.0,MiamiHeatatChicagoBullsBoxScore November18
9,Kevin Love,15:04,0.917,0.917,0.833,0.0,0.0,62.2,32.3,10.9,0.0,0.0,14.3,22.1,134.0,106.0,11.2,MiamiHeatatChicagoBullsBoxScore November20
9,Kevin Love,12:53,0.633,0.5,0.6,0.6,0.0,56.7,30.0,40.8,0.0,0.0,13.7,25.3,131.0,95.0,15.2,MiamiHeatatGoldenStateWarriorsBoxScore December28
7,Kevin Love,22:30,0.715,0.682,0.455,0.182,9.9,14.7,11.9,31.9,0.0,8.4,7.8,25.3,141.0,128.0,11.4,MiamiHeatatLosAngelesClippersBoxScore January1
7,Kevin Love,27:53,0.519,0.571,0.143,0.857,10.8,46.2,27.1,15.1,1.7,3.2,0.0,15.3,126.0,89.0,2.4,MiamiHeatatLosAngelesLakersBoxScore January3
11,Kevin Love,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MiamiHeatatMemphisGrizzliesBoxScore November8
4,Kevin Love,17:55,0.25,0.25,0.833,0.0,0.0,31.9,16.1,21.0,0.0,0.0,25.0,19.7,58.0,120.0,-10.6,MiamiHeatatMilwaukeeBucksBoxScore October30
9,Kevin Love,13:50,0.5,0.5,0.5,0.0,0.0,16.9,8.3,18.5,0.0,0.0,0.0,6.7,133.0,139.0,-3.0,MiamiHeatatNewYorkKnicksBoxScore January27
7,Kevin Love,18:17,0.444,0.357,0.857,0.286,5.3,35.5,18.1,9.1,0.0,0.0,20.2,24.2,81.0,105.0,-6.3,MiamiHeatatNewYorkKnicksBoxScore November24
9,Kevin Love,14:04,0.654,0.667,0.833,0.333,23.3,28.4,25.6,0.0,0.0,0.0,12.7,26.4,117.0,119.0,-0.3,MiamiHeatatOrlandoMagicBoxScore January21
8,Kevin Love,20:04,0.859,0.833,0.667,0.667,15.6,22.8,19.0,24.3,0.0,0.0,14.7,30.3,144.0,122.0,15.7,MiamiHeatatPhoenixSunsBoxScore January5
8,Kevin Love,14:10,0.615,0.5,0.875,0.5,0.0,16.5,7.4,0.0,0.0,0.0,0.0,31.1,127.0,121.0,-1.7,MiamiHeatatSanAntonioSpursBoxScore November12
8,Kevin Love,14:32,0.633,0.5,0.8,0.6,7.2,7.5,7.3,38.4,0.0,0.0,0.0,20.0,153.0,113.0,9.4,MiamiHeatatTorontoRaptorsBoxScore December6
9,Kevin Love,19:59,0.47,0.455,0.727,0.364,11.4,20.4,16.2,19.7,0.0,0.0,7.3,29.6,101.0,119.0,-1.8,MiamiHeatatUtahJazzBoxScore December30
9,Kevin Love,15:09,0.962,1.0,0.6,0.8,6.2,55.9,31.1,25.0,0.0,0.0,12.9,21.3,163.0,98.0,22.0,MiamiHeatatWashingtonWizardsBoxScore February2
