Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,GameDetails
1,James Harden,28:41,0.538,0.538,0.385,0.0,0.0,16.7,7.9,48.6,1.8,0.0,23.5,26.9,100.0,149.0,-3.7,BostonCelticsatLosAngelesClippersBoxScore December23
0,James Harden,38:25,0.802,0.682,0.545,0.818,0.0,14.5,7.7,36.2,2.5,2.4,21.1,22.0,142.0,112.0,10.0,BrooklynNetsatLosAngelesClippersBoxScore January21
0,James Harden,40:27,0.743,0.688,0.75,0.5,0.0,17.0,8.2,31.1,2.4,1.9,17.0,25.6,133.0,103.0,10.5,CharlotteHornetsatLosAngelesClippersBoxScore December26
3,James Harden,28:17,0.45,0.375,0.75,0.25,0.0,13.6,7.2,34.3,1.8,6.4,18.4,16.2,108.0,90.0,7.1,DallasMavericksatLosAngelesClippersBoxScore November25
2,James Harden,32:08,0.765,0.7,0.3,0.7,0.0,2.9,1.5,52.9,4.7,2.2,23.4,23.4,137.0,106.0,17.2,DenverNuggetsatLosAngelesClippersBoxScore December6
2,James Harden,36:28,0.698,0.643,0.714,0.286,0.0,5.2,2.6,17.0,1.4,0.0,27.6,12.7,111.0,123.0,-4.0,DenverNuggetsatLosAngelesClippersBoxScore November27
0,James Harden,42:23,0.81,0.708,0.5,1.0,6.1,12.3,9.6,49.7,1.2,9.6,18.8,22.5,155.0,121.0,19.3,GoldenStateWarriorsatLosAngelesClippersBoxScore December14
2,James Harden,35:02,0.648,0.571,0.5,0.357,0.0,16.7,8.4,35.8,1.4,0.0,5.8,22.0,136.0,113.0,6.7,GoldenStateWarriorsatLosAngelesClippersBoxScore December2
3,James Harden,34:22,0.852,0.818,0.364,0.636,3.2,21.9,13.4,39.4,0.0,2.5,17.6,22.0,148.0,104.0,11.9,HoustonRocketsatLosAngelesClippersBoxScore November17
0,James Harden,39:27,0.599,0.588,0.471,0.294,3.6,2.8,3.2,28.8,1.2,2.0,5.0,22.9,134.0,120.0,3.6,LosAngelesLakersatLosAngelesClippersBoxScore January23
0,James Harden,43:30,0.484,0.385,0.692,0.615,0.0,9.6,5.1,37.2,0.0,7.0,23.2,20.6,103.0,101.0,1.7,MemphisGrizzliesatLosAngelesClippersBoxScore December29
3,James Harden,28:40,0.427,0.375,0.583,0.167,8.8,7.6,8.2,16.6,1.7,3.6,7.2,21.3,98.0,108.0,-0.8,MemphisGrizzliesatLosAngelesClippersBoxScore November12
2,James Harden,31:29,0.845,0.813,0.625,0.25,0.0,14.2,8.5,38.7,1.6,6.2,18.4,16.4,160.0,111.0,14.4,MiamiHeatatLosAngelesClippersBoxScore January1
0,James Harden,38:23,0.771,0.773,0.545,0.273,3.3,23.7,13.3,21.9,1.3,2.2,24.5,18.8,119.0,118.0,6.2,NewOrleansPelicansatLosAngelesClippersBoxScore February7
1,James Harden,37:15,0.376,0.313,0.75,0.75,0.0,15.0,7.2,32.7,5.1,2.0,22.0,15.9,89.0,109.0,-0.2,NewOrleansPelicansatLosAngelesClippersBoxScore November24
2,James Harden,28:11,0.551,0.417,0.667,1.167,0.0,14.8,8.4,43.9,1.7,5.8,9.9,15.5,146.0,119.0,6.9,NewYorkKnicksatLosAngelesClippersBoxScore December16
0,James Harden,40:32,0.538,0.5,0.714,0.143,0.0,16.4,8.0,23.1,0.0,2.4,6.3,17.7,134.0,131.0,-1.2,OklahomaCityThunderatLosAngelesClippersBoxScore January16
2,James Harden,29:36,0.973,0.938,0.5,0.5,0.0,29.9,16.5,37.5,0.0,0.0,23.5,19.3,165.0,121.0,11.1,PhoenixSunsatLosAngelesClippersBoxScore January8
2,James Harden,37:17,0.653,0.607,0.429,0.214,0.0,24.4,12.7,22.5,1.3,5.1,16.4,21.9,123.0,129.0,0.1,PortlandTrailBlazersatLosAngelesClippersBoxScore December11
2,James Harden,28:18,0.621,0.444,0.444,0.778,0.0,20.4,11.7,31.9,3.3,0.0,14.2,22.1,128.0,93.0,5.9,SacramentoKingsatLosAngelesClippersBoxScore December12
2,James Harden,33:40,0.504,0.462,0.538,0.154,0.0,22.3,9.8,37.5,1.5,0.0,17.8,22.8,113.0,127.0,-3.7,TorontoRaptorsatLosAngelesClippersBoxScore January10
0,James Harden,38:30,0.815,0.714,0.643,0.714,7.3,18.2,13.3,28.8,2.5,2.2,9.8,23.2,169.0,140.0,11.0,LosAngelesClippersatAtlantaHawksBoxScore February5
1,James Harden,26:48,0.33,0.182,0.545,0.545,3.7,20.6,13.0,30.3,0.0,0.0,6.8,22.4,96.0,100.0,-5.1,LosAngelesClippersatBostonCelticsBoxScore January27
1,James Harden,35:57,0.607,0.556,0.556,0.222,0.0,19.8,10.7,21.8,2.8,0.0,33.6,17.8,88.0,102.0,-2.1,LosAngelesClippersatBrooklynNetsBoxScore November8
0,James Harden,38:45,0.564,0.5,0.625,0.5,0.0,20.6,10.4,36.1,1.3,2.7,23.5,15.2,111.0,120.0,1.0,LosAngelesClippersatClevelandCavaliersBoxScore January29
1,James Harden,38:43,0.548,0.417,0.667,0.667,0.0,12.4,7.7,35.8,0.0,5.2,20.5,24.2,115.0,122.0,-0.2,LosAngelesClippersatDallasMavericksBoxScore December20
0,James Harden,29:08,0.81,0.667,0.5,1.0,0.0,19.2,9.4,13.0,3.4,0.0,18.8,14.9,148.0,141.0,4.4,LosAngelesClippersatDallasMavericksBoxScore November10
2,James Harden,35:27,0.626,0.567,0.533,0.267,0.0,8.0,3.5,19.7,0.0,0.0,5.6,22.6,135.0,127.0,1.4,LosAngelesClippersatDenverNuggetsBoxScore November14
0,James Harden,33:36,0.184,0.1,0.5,0.2,4.5,6.8,5.8,16.6,1.4,0.0,8.4,16.0,79.0,132.0,-15.8,LosAngelesClippersatDetroitPistonsBoxScore February2
1,James Harden,37:13,0.648,0.654,0.769,0.154,0.0,10.2,4.3,26.4,1.4,0.0,6.7,17.2,135.0,132.0,5.4,LosAngelesClippersatGoldenStateWarriorsBoxScore November30
1,James Harden,28:21,1.01,1.0,0.688,0.188,0.0,11.8,6.3,42.7,1.7,2.7,5.5,26.0,204.0,124.0,31.1,LosAngelesClippersatIndianaPacersBoxScore December18
0,James Harden,38:31,0.493,0.423,0.538,0.385,5.5,7.1,6.2,36.2,1.3,0.0,24.8,22.2,100.0,115.0,-1.7,LosAngelesClippersatLosAngelesLakersBoxScore January7
2,James Harden,27:47,0.661,0.571,0.571,0.429,0.0,3.5,1.9,35.5,1.8,0.0,26.5,17.8,129.0,131.0,2.0,LosAngelesClippersatMemphisGrizzliesBoxScore January12
0,James Harden,41:38,0.711,0.731,0.692,0.308,0.0,18.1,9.9,48.9,1.3,1.9,21.3,21.3,127.0,102.0,9.7,LosAngelesClippersatMiamiHeatBoxScore February4
2,James Harden,36:05,0.432,0.357,0.643,0.357,0.0,4.0,1.8,34.7,2.9,6.5,19.8,26.4,89.0,115.0,-2.0,LosAngelesClippersatMinnesotaTimberwolvesBoxScore January14
2,James Harden,29:00,0.481,0.357,0.857,0.429,0.0,9.2,5.3,58.6,0.0,0.0,10.7,14.7,142.0,110.0,5.0,LosAngelesClippersatNewOrleansPelicansBoxScore January5
2,James Harden,31:22,0.824,0.778,0.444,0.333,0.0,10.9,5.8,34.2,1.6,0.0,16.2,18.5,147.0,120.0,8.5,LosAngelesClippersatNewYorkKnicksBoxScore November6
0,James Harden,33:51,0.557,0.5,0.5,0.333,6.4,29.2,16.4,25.0,4.3,2.7,12.7,29.6,118.0,128.0,6.6,LosAngelesClippersatOklahomaCityThunderBoxScore December21
2,James Harden,35:35,0.745,0.692,0.538,0.308,0.0,18.7,9.9,45.6,0.0,3.1,21.3,24.8,143.0,135.0,4.7,LosAngelesClippersatPhoenixSunsBoxScore January3
1,James Harden,38:37,0.802,0.75,0.571,0.357,3.0,5.9,4.4,18.6,6.4,0.0,11.0,21.2,150.0,114.0,12.4,LosAngelesClippersatSacramentoKingsBoxScore November29
1,James Harden,28:04,0.488,0.417,0.667,0.25,3.7,6.3,5.1,44.8,3.4,0.0,0.0,20.2,132.0,102.0,6.2,LosAngelesClippersatSanAntonioSpursBoxScore November20
1,James Harden,35:47,0.651,0.571,0.571,1.714,0.0,16.4,8.6,34.5,1.3,2.5,24.6,19.2,115.0,102.0,3.0,LosAngelesClippersatSanAntonioSpursBoxScore November22
0,James Harden,34:58,0.698,0.643,0.5,0.286,0.0,25.9,14.4,48.2,1.4,2.1,6.0,19.9,155.0,102.0,14.2,LosAngelesClippersatTorontoRaptorsBoxScore January26
3,James Harden,33:49,0.542,0.375,0.75,0.875,0.0,26.9,12.4,28.3,0.0,2.7,15.3,17.0,123.0,110.0,-0.1,LosAngelesClippersatUtahJazzBoxScore December8
0,James Harden,32:33,0.709,0.633,0.667,0.4,2.9,25.6,13.7,20.1,3.0,8.7,10.2,24.6,145.0,99.0,16.5,LosAngelesClippersatWashingtonWizardsBoxScore January31
