Unnamed: 0,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,GameDetails,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
11,Kris Murray,14:36,0.333,0.333,0.333,0.0,0.0,7.6,3.7,21.4,0.0,0.0,25.0,11.1,72.0,125.0,-6.4,PortlandTrailBlazersatDallasMavericksBoxScore January3,,,,,,,,,,,,,,,,,,,
7,Kris Murray,20:01,0.625,0.625,0.375,0.0,9.2,11.4,10.2,8.2,4.4,0.0,11.1,17.9,113.0,123.0,2.7,PortlandTrailBlazersatDallasMavericksBoxScore January5,,,,,,,,,,,,,,,,,,,
9,Kris Murray,13:37,0.0,0.0,0.0,0.0,7.8,8.8,8.3,0.0,4.0,0.0,50.0,7.0,37.0,133.0,-8.7,PortlandTrailBlazersatDenverNuggetsBoxScore February2,,,,,,,,,,,,,,,,,,,
4,Kris Murray,19:38,0.571,0.571,0.286,0.0,0.0,11.9,5.8,16.7,2.8,4.2,22.2,21.0,94.0,125.0,-3.3,PortlandTrailBlazersatDenverNuggetsBoxScore February4,,,,,,,,,,,,,,,,,,,
12,Kris Murray,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortlandTrailBlazersatDetroitPistonsBoxScore November1,,,,,,,,,,,,,,,,,,,
11,Kris Murray,4:38,1.0,1.0,0.0,0.0,23.5,29.6,26.2,0.0,10.9,0.0,0.0,9.8,211.0,110.0,10.1,PortlandTrailBlazersatGoldenStateWarriorsBoxScore December23,,,,,,,,,,,,,,,,,,,
9,Kris Murray,21:02,0.75,0.75,1.0,0.0,0.0,25.9,12.7,6.6,4.7,0.0,0.0,8.1,155.0,102.0,6.0,PortlandTrailBlazersatGoldenStateWarriorsBoxScore December6,,,,,,,,,,,,,,,,,,,
12,Kris Murray,0:0,,,,,,,,,,,,,,,,PortlandTrailBlazersatHoustonRocketsBoxScore January24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Kris Murray,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortlandTrailBlazersatIndianaPacersBoxScore November27,,,,,,,,,,,,,,,,,,,
11,Kris Murray,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortlandTrailBlazersatLosAngelesClippersBoxScore December11,,,,,,,,,,,,,,,,,,,
11,Kris Murray,5:18,0.0,0.0,0.0,0.0,0.0,23.2,10.7,0.0,0.0,0.0,0.0,0.0,0.0,128.0,-6.8,PortlandTrailBlazersatLosAngelesClippersBoxScore October25,,,,,,,,,,,,,,,,,,,
10,Kris Murray,6:08,0.0,0.0,0.0,0.0,0.0,22.4,9.8,0.0,0.0,14.8,0.0,0.0,0.0,130.0,-0.6,PortlandTrailBlazersatLosAngelesLakersBoxScore January21,,,,,,,,,,,,,,,,,,,
10,Kris Murray,3:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,-13.5,PortlandTrailBlazersatLosAngelesLakersBoxScore November12,,,,,,,,,,,,,,,,,,,
13,Kris Murray,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortlandTrailBlazersatMilwaukeeBucksBoxScore November26,,,,,,,,,,,,,,,,,,,
10,Kris Murray,9:28,0.532,0.0,0.0,2.0,0.0,0.0,0.0,16.9,5.2,0.0,0.0,8.6,137.0,116.0,4.3,PortlandTrailBlazersatMinnesotaTimberwolvesBoxScore January12,,,,,,,,,,,,,,,,,,,
8,Kris Murray,16:22,0.398,0.3,0.3,0.3,11.3,6.4,9.0,12.1,3.1,0.0,8.1,33.2,88.0,121.0,-3.3,PortlandTrailBlazersatNewYorkKnicksBoxScore January9,,,,,,,,,,,,,,,,,,,
6,Kris Murray,23:15,0.45,0.45,0.5,0.0,9.7,11.2,10.2,0.0,2.0,0.0,0.0,17.6,99.0,137.0,-4.2,PortlandTrailBlazersatOklahomaCityThunderBoxScore January11,,,,,,,,,,,,,,,,,,,
12,Kris Murray,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortlandTrailBlazersatOklahomaCityThunderBoxScore January23,,,,,,,,,,,,,,,,,,,
10,Kris Murray,5:47,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.2,0.0,0.0,7.0,0.0,117.0,-8.9,PortlandTrailBlazersatPhiladelphia76ersBoxScore October29,,,,,,,,,,,,,,,,,,,
8,Kris Murray,19:01,0.6,0.6,0.4,0.0,5.7,6.5,6.1,9.9,2.6,4.9,0.0,11.9,126.0,109.0,1.4,PortlandTrailBlazersatPhoenixSunsBoxScore January1,,,,,,,,,,,,,,,,,,,
12,Kris Murray,1:39,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.5,140.0,143.0,32.5,PortlandTrailBlazersatPhoenixSunsBoxScore November21,,,,,,,,,,,,,,,,,,,
9,Kris Murray, ,,,,,,,,,,,,,,,,PortlandTrailBlazersatSacramentoKingsBoxScore November8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Kris Murray,17:20,0.106,0.111,0.667,0.111,0.0,12.0,5.8,0.0,2.8,0.0,0.0,23.5,23.0,115.0,-24.6,PortlandTrailBlazersatSanAntonioSpursBoxScore January26,,,,,,,,,,,,,,,,,,,
12,Kris Murray,0:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortlandTrailBlazersatTorontoRaptorsBoxScore October30,,,,,,,,,,,,,,,,,,,
12,Kris Murray,0:0,,,,,,,,,,,,,,,,PortlandTrailBlazersatUtahJazzBoxScore December2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Kris Murray,2:34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,-9.6,PortlandTrailBlazersatUtahJazzBoxScore November14,,,,,,,,,,,,,,,,,,,
